company,hired,maxSalary,sumSalary,placedWithSalary,averagePackage,highestPackage
TechNova,11,8.2,86.4,11,7.85,8.20
CodeCraft,9,8.6,75.6,9,8.40,8.60
Persistent,9,8.4,73.7,9,8.19,8.40
Deloitte,8,9,71.2,8,8.90,9.00
DataSphere,6,9.3,54.8,6,9.13,9.30
AI Labs,6,9.8,56.8,6,9.47,9.80
Infosys,6,7.3,42.1,6,7.02,7.30
IBM,5,9,44.4,5,8.88,9.00
DataWorks,5,9.5,44.9,5,8.98,9.50
TCS,5,7.4,36.4,5,7.28,7.40
Wipro,4,7,27.2,4,6.80,7.00
TechMahindra,4,7,27.6,4,6.90,7.00
Capgemini,4,7.7,29.4,4,7.35,7.70
Fractal Analytics,3,9.8,28.8,3,9.60,9.80
HCLTech,3,7.6,21.9,3,7.30,7.60
ByteWorks,2,7.8,15.6,2,7.80,7.80
CloudMatrix,2,8.5,17,2,8.50,8.50
AppVertex,2,8,16,2,8.00,8.00
DevWorks,2,8.7,17.4,2,8.70,8.70
EnterpriseSoft,2,8.8,17.6,2,8.80,8.80
NexGen,2,7.6,15.2,2,7.60,7.60
FinTechPro,2,8.4,16.8,2,8.40,8.40
CloudWorks,2,9,18,2,9.00,9.00
CodeSphere,2,8.1,16.2,2,8.10,8.10
FullStack Labs,2,8.3,16.6,2,8.30,8.30
JavaWorks,2,7.9,15.8,2,7.90,7.90
Accenture,2,7.7,15.2,2,7.60,7.70
Cognizant,1,7,7,1,7.00,7.00
CloudServe,1,8.4,8.4,1,8.40,8.40
Oracle,1,8.9,8.9,1,8.90,8.90
Zensar,1,7.1,7.1,1,7.10,7.10
EY,1,7.8,7.8,1,7.80,7.80
Cybage,1,7.3,7.3,1,7.30,7.30
LTIMindtree,1,7.9,7.9,1,7.90,7.90
KPIT,1,8,8,1,8.00,8.00
Persistent Systems,1,8.2,8.2,1,8.20,8.20
