cgpa,active_backlogs,skills,placement_season,placement_status
8.42,0,"Python, Machine Learning, Pandas",Summer,Placed
7.86,0,"Python, TensorFlow, Deep Learning",Autumn,Placed
8.71,0,"Python, Scikit-learn, SQL",Winter,Not Placed
7.54,0,"NLP, Python, NLTK",Summer,Placed
8.93,0,"Computer Vision, OpenCV, Python",Autumn,Not Placed
7.92,0,"Machine Learning, NumPy, Pandas",Winter,Placed
8.35,0,"Deep Learning, TensorFlow, Python",Summer,Placed
7.68,1,"Python, Flask, ML",Autumn,Not Placed
8.62,0,"Python, Machine Learning, Pandas",Winter,Placed
7.81,0,"Python, TensorFlow, Deep Learning",Summer,Placed
8.87,0,"Python, Scikit-learn, SQL",Autumn,Not Placed
7.45,0,"NLP, Python, NLTK",Winter,Placed
8.54,0,"Computer Vision, OpenCV, Python",Summer,Placed
7.73,1,"Machine Learning, NumPy, Pandas",Autumn,Not Placed
8.76,0,"Deep Learning, TensorFlow, Python",Winter,Placed
8.11,0,"Python, Flask, ML",Summer,Placed
8.29,0,"Python, Machine Learning, Pandas",Autumn,Not Placed
7.67,0,"Python, TensorFlow, Deep Learning",Winter,Placed
8.98,0,"Python, Scikit-learn, SQL",Summer,Placed
7.89,1,"NLP, Python, NLTK",Autumn,Not Placed
8.47,0,"Computer Vision, OpenCV, Python",Winter,Placed
7.58,0,"Machine Learning, NumPy, Pandas",Summer,Placed
8.69,0,"Deep Learning, TensorFlow, Python",Autumn,Not Placed
8.24,0,"Python, Flask, ML",Winter,Placed
8.56,0,"Python, Machine Learning, Pandas",Summer,Placed
8.42,0,"Java, Spring Boot, MySQL",Summer,Placed
7.86,0,"C++, DSA, Linux",Autumn,Placed
8.71,0,"Python, SQL, Django",Winter,Not Placed
7.54,0,"JavaScript, React, Node.js",Summer,Placed
8.93,0,"Java, JDBC, MySQL",Autumn,Not Placed
7.92,0,"C++, Embedded C, IoT",Winter,Placed
8.35,0,"Python, Flask, PostgreSQL",Summer,Placed
7.68,1,"Java, AWS, Docker",Autumn,Not Placed
8.62,0,"Java, Spring Boot, MySQL",Winter,Placed
7.81,0,"C++, DSA, Linux",Summer,Placed
8.87,0,"Python, SQL, Django",Autumn,Not Placed
7.45,0,"JavaScript, React, Node.js",Winter,Placed
8.54,0,"Java, JDBC, MySQL",Summer,Placed
7.73,1,"C++, Embedded C, IoT",Autumn,Not Placed
8.76,0,"Python, Flask, PostgreSQL",Winter,Placed
8.11,0,"Java, AWS, Docker",Summer,Placed
8.29,0,"Java, Spring Boot, MySQL",Autumn,Not Placed
7.67,0,"C++, DSA, Linux",Winter,Placed
8.98,0,"Python, SQL, Django",Summer,Placed
7.89,1,"JavaScript, React, Node.js",Autumn,Not Placed
8.47,0,"Java, JDBC, MySQL",Winter,Placed
7.58,0,"C++, Embedded C, IoT",Summer,Placed
8.69,0,"Python, Flask, PostgreSQL",Autumn,Not Placed
8.24,0,"Java, AWS, Docker",Winter,Placed
8.56,0,"Java, Spring Boot, MySQL",Summer,Placed
8.42,0,"Java, Spring Boot, MySQL",Summer,Placed
7.86,0,"Python, SQL, Django",Autumn,Placed
8.71,0,"C++, DSA, Algorithms",Winter,Not Placed
7.54,0,"JavaScript, React, Node.js",Summer,Placed
8.93,0,"Java, Hibernate, MySQL",Autumn,Not Placed
7.92,0,"Python, Flask, PostgreSQL",Winter,Placed
8.35,0,"React, Node.js, MongoDB",Summer,Placed
7.68,1,"Java, REST API, AWS",Autumn,Not Placed
8.62,0,"Java, Spring Boot, MySQL",Winter,Placed
7.81,0,"Python, SQL, Django",Summer,Placed
8.87,0,"C++, DSA, Algorithms",Autumn,Not Placed
7.45,0,"JavaScript, React, Node.js",Winter,Placed
8.54,0,"Java, Hibernate, MySQL",Summer,Placed
7.73,1,"Python, Flask, PostgreSQL",Autumn,Not Placed
8.76,0,"React, Node.js, MongoDB",Winter,Placed
8.11,0,"Java, REST API, AWS",Summer,Placed
8.29,0,"Java, Spring Boot, MySQL",Autumn,Not Placed
7.67,0,"Python, SQL, Django",Winter,Placed
8.98,0,"C++, DSA, Algorithms",Summer,Placed
7.89,1,"JavaScript, React, Node.js",Autumn,Not Placed
8.47,0,"Java, Hibernate, MySQL",Winter,Placed
7.58,0,"Python, Flask, PostgreSQL",Summer,Placed
8.69,0,"React, Node.js, MongoDB",Autumn,Not Placed
8.24,0,"Java, REST API, AWS",Winter,Placed
8.56,0,"Java, Spring Boot, MySQL",Summer,Placed
8.12,0,"Java, Spring Boot, MySQL",Summer,Placed
8.45,0,"Python, SQL, Django",Summer,Placed
7.68,1,"Java, React, MySQL",Autumn,Not Placed
8.76,0,"Python, ML, Flask",Autumn,Placed
8.01,0,"Java, Spring Boot, REST API",Winter,Placed
8.58,0,"React, Node.js, MongoDB",Winter,Not Placed
7.92,0,"Java, MySQL, AWS",Summer,Placed
8.33,0,"Python, FastAPI, SQL",Summer,Placed
8.91,0,"JavaScript, React, Node.js",Autumn,Placed
7.84,1,"Java, JDBC, MySQL",Autumn,Not Placed
8.63,0,"Python, AI, TensorFlow",Winter,Placed
7.56,2,"C++, DSA, SQL",Winter,Not Placed
8.74,0,"Java, Hibernate, Spring Boot",Summer,Placed
8.09,0,"Python, Django, PostgreSQL",Summer,Not Placed
7.47,1,"JavaScript, Express, MongoDB",Autumn,Placed
8.39,0,"Java, Spring, MySQL",Autumn,Placed
7.88,0,"React, JavaScript, REST API",Winter,Not Placed
8.95,0,"Python, ML, Pandas",Winter,Placed
7.73,0,"Java, SQL, Spring Boot",Summer,Not Placed
8.67,0,"AWS, Docker, Java",Summer,Placed
7.61,1,"Python, SQL, Power BI",Autumn,Not Placed
8.28,0,"Java, JPA, MySQL",Autumn,Placed
8.16,0,"Node.js, React, MongoDB",Winter,Placed
8.52,0,"Python, Flask, MySQL",Winter,Not Placed
