cgpa,experience_years,active_backlogs,placed,education,occupation
7.8,29,0,0,Bachelors,Protective-serv
7.8,10,0,0,Bachelors,Sales
7.8,20,0,1,Bachelors,Craft-repair
7.8,19,0,0,Bachelors,Prof-specialty
5.3999999999999995,16,0,0,HS-grad,Craft-repair
5.3999999999999995,39,0,0,HS-grad,Farming-fishing
8.4,8,0,0,Masters,Prof-specialty
5.3999999999999995,23,0,0,HS-grad,Other-service
7.8,11,0,0,Bachelors,Craft-repair
5.3999999999999995,16,0,0,HS-grad,Exec-managerial
5.3999999999999995,14,0,0,HS-grad,Craft-repair
4.8,0,0,0,12th,Adm-clerical
6.0,35,0,0,Some-college,Sales
6.0,15,0,0,Some-college,Exec-managerial
6.0,6,0,1,Some-college,Protective-serv
6.0,7,0,0,Some-college,Sales
7.8,17,0,1,Bachelors,Exec-managerial
5.3999999999999995,31,0,0,HS-grad,Exec-managerial
6.0,30,0,1,Some-college,Craft-repair
5.3999999999999995,42,0,0,HS-grad,Protective-serv
6.0,27,0,0,Some-college,Handlers-cleaners
6.0,29,0,1,Some-college,Craft-repair
9.6,19,0,0,Doctorate,Prof-specialty
6.0,16,0,1,Some-college,Exec-managerial
9.0,31,0,0,Prof-school,Prof-specialty
5.3999999999999995,29,0,0,HS-grad,Other-service
5.3999999999999995,19,0,0,HS-grad,Transport-moving
5.3999999999999995,11,0,0,HS-grad,Exec-managerial
5.3999999999999995,4,0,0,HS-grad,Handlers-cleaners
5.3999999999999995,11,0,0,HS-grad,Adm-clerical
6.0,24,0,1,Some-college,Machine-op-inspct
1.7999999999999998,44,0,0,5th-6th,Farming-fishing
7.199999999999999,30,0,1,Assoc-acdm,Craft-repair
5.3999999999999995,41,0,1,HS-grad,Exec-managerial
6.0,33,0,1,Some-college,Craft-repair
7.199999999999999,26,0,0,Assoc-acdm,Machine-op-inspct
6.0,45,0,0,Some-college,Sales
5.3999999999999995,20,0,1,HS-grad,Exec-managerial
5.3999999999999995,7,0,0,HS-grad,Handlers-cleaners
7.8,21,0,1,Bachelors,Exec-managerial
7.199999999999999,23,0,0,Assoc-acdm,Farming-fishing
6.0,28,0,0,Some-college,Handlers-cleaners
5.3999999999999995,10,0,0,HS-grad,Craft-repair
6.0,2,0,0,Some-college,Sales
7.8,27,0,1,Bachelors,Prof-specialty
6.0,30,0,0,Some-college,Adm-clerical
8.4,15,0,0,Masters,Protective-serv
5.3999999999999995,72,0,0,HS-grad,Craft-repair
5.3999999999999995,31,0,0,HS-grad,Craft-repair
5.3999999999999995,45,0,1,HS-grad,Other-service
8.4,23,0,1,Masters,Prof-specialty
9.6,14,0,1,Doctorate,Prof-specialty
5.3999999999999995,33,0,0,HS-grad,Other-service
6.0,27,0,1,Some-college,Protective-serv
6.6,11,0,0,Assoc-voc,Craft-repair
7.8,24,0,1,Bachelors,Prof-specialty
6.0,12,0,0,Some-college,Machine-op-inspct
5.3999999999999995,36,0,0,HS-grad,Sales
5.3999999999999995,18,0,1,HS-grad,Prof-specialty
5.3999999999999995,5,0,0,HS-grad,Transport-moving
6.0,17,0,0,Some-college,Exec-managerial
6.0,25,0,1,Some-college,Craft-repair
8.4,30,0,0,Masters,Exec-managerial
5.3999999999999995,37,0,1,HS-grad,Farming-fishing
4.2,22,0,0,11th,Transport-moving
3.5999999999999996,48,0,0,10th,Craft-repair
6.0,15,0,0,Some-college,Handlers-cleaners
6.0,35,0,0,Some-college,Farming-fishing
6.0,13,0,0,Some-college,Exec-managerial
7.8,4,0,0,Bachelors,Exec-managerial
7.8,13,0,0,Bachelors,Prof-specialty
9.6,33,0,1,Doctorate,Prof-specialty
3.5999999999999996,11,0,0,10th,Other-service
6.0,2,0,0,Some-college,Farming-fishing
2.4,29,0,0,7th-8th,Other-service
8.4,33,0,1,Masters,Prof-specialty
4.8,13,0,0,12th,Transport-moving
6.0,14,0,1,Some-college,Prof-specialty
7.8,21,0,1,Bachelors,Prof-specialty
5.3999999999999995,11,0,0,HS-grad,Craft-repair
7.8,6,0,0,Bachelors,Prof-specialty
7.8,15,0,1,Bachelors,Sales
7.8,23,0,0,Bachelors,Exec-managerial
5.3999999999999995,9,0,0,HS-grad,Prof-specialty
7.8,42,0,1,Bachelors,Exec-managerial
3.5999999999999996,9,0,0,10th,Craft-repair
6.0,19,0,0,Some-college,Adm-clerical
5.3999999999999995,21,0,0,HS-grad,Sales
7.8,7,0,0,Bachelors,Craft-repair
5.3999999999999995,38,0,0,HS-grad,Machine-op-inspct
6.0,14,0,0,Some-college,Adm-clerical
7.8,19,0,1,Bachelors,Craft-repair
5.3999999999999995,15,0,0,HS-grad,Transport-moving
6.0,18,0,0,Some-college,Craft-repair
6.0,13,0,0,Some-college,Other-service
6.0,3,0,0,Some-college,Other-service
5.3999999999999995,28,0,0,HS-grad,Sales
7.8,30,0,1,Bachelors,Exec-managerial
6.0,29,0,0,Some-college,Craft-repair
5.3999999999999995,11,0,0,HS-grad,Other-service
7.8,22,0,1,Bachelors,Sales
7.8,20,0,0,Bachelors,Adm-clerical
5.3999999999999995,29,0,1,HS-grad,Exec-managerial
7.8,35,0,1,Bachelors,Sales
1.7999999999999998,47,0,0,5th-6th,Farming-fishing
6.0,3,0,0,Some-college,Other-service
5.3999999999999995,17,0,0,HS-grad,Farming-fishing
5.3999999999999995,54,0,0,HS-grad,Other-service
5.3999999999999995,-1,0,0,HS-grad,Other-service
6.0,8,0,0,Some-college,Adm-clerical
6.0,6,0,0,Some-college,Sales
5.3999999999999995,9,0,0,HS-grad,Craft-repair
5.3999999999999995,28,0,1,HS-grad,Transport-moving
8.4,41,0,0,Masters,Prof-specialty
6.0,13,0,0,Some-college,Protective-serv
5.3999999999999995,3,0,0,HS-grad,Other-service
5.3999999999999995,11,0,0,HS-grad,Sales
6.0,9,0,0,Some-college,Craft-repair
3.5999999999999996,29,0,0,10th,Sales
6.0,3,0,0,Some-college,Other-service
6.0,32,0,0,Some-college,Sales
5.3999999999999995,28,0,0,HS-grad,Adm-clerical
8.4,52,0,1,Masters,Exec-managerial
6.0,0,0,0,Some-college,Adm-clerical
4.8,17,0,0,12th,Other-service
7.8,19,0,1,Bachelors,Craft-repair
7.199999999999999,8,0,0,Assoc-acdm,Other-service
2.4,12,0,0,7th-8th,Farming-fishing
7.8,32,0,1,Bachelors,Prof-specialty
9.0,21,0,1,Prof-school,Prof-specialty
5.3999999999999995,12,0,0,HS-grad,Handlers-cleaners
